date,source,title,summary,text
2026-04-08,prescraped,Bitcoin Jumps to Three-Week High on US-Iran Ceasefire Plan - Bloomberg.com,Bitcoin Jumps to Three-Week High on US-Iran Ceasefire Plan  Bloomberg.com,Bitcoin Jumps to Three-Week High on US-Iran Ceasefire Plan - Bloomberg.com. Bitcoin Jumps to Three-Week High on US-Iran Ceasefire Plan  Bloomberg.com
2026-04-08,prescraped,Latest investigation into bitcoin founder ties identity to Blockstream CEO Adam Back - CNBC,Latest investigation into bitcoin founder ties identity to Blockstream CEO Adam Back  CNBC,Latest investigation into bitcoin founder ties identity to Blockstream CEO Adam Back - CNBC. Latest investigation into bitcoin founder ties identity to Blockstream CEO Adam Back  CNBC
2026-04-08,prescraped,Morgan Stanley Investment Management Enters Digital Investments Universe With Launch of Morgan Stanley Bitcoin Trust - Morgan Stanley,Morgan Stanley Investment Management Enters Digital Investments Universe With Launch of Morgan Stanley Bitcoin Trust  Morgan Stanley,Morgan Stanley Investment Management Enters Digital Investments Universe With Launch of Morgan Stanley Bitcoin Trust - Morgan Stanley. Morgan Stanley Investment Management Enters Digital Investments Universe With Launch of Morgan Stanley Bitcoin Trust  Morgan Stanley
2026-04-09,prescraped,"Bitcoin's next big move hinges on oil, and right now it's a total coin flip - CoinDesk","Bitcoin's next big move hinges on oil, and right now it's a total coin flip  CoinDesk","Bitcoin's next big move hinges on oil, and right now it's a total coin flip - CoinDesk. Bitcoin's next big move hinges on oil, and right now it's a total coin flip  CoinDesk"
2026-04-08,prescraped,"Current price of Bitcoin for April 8, 2026 - Fortune","Current price of Bitcoin for April 8, 2026  Fortune","Current price of Bitcoin for April 8, 2026 - Fortune. Current price of Bitcoin for April 8, 2026  Fortune"
2026-04-08,prescraped,"4 Takeaways From Our Search for Satoshi Nakamoto, Bitcoin’s Creator - The New York Times","4 Takeaways From Our Search for Satoshi Nakamoto, Bitcoin’s Creator  The New York Times","4 Takeaways From Our Search for Satoshi Nakamoto, Bitcoin’s Creator - The New York Times. 4 Takeaways From Our Search for Satoshi Nakamoto, Bitcoin’s Creator  The New York Times"
2026-04-08,prescraped,The New York Times may have found bitcoin founder Satoshi Nakamoto. Here's what you need to know. - Yahoo Finance,The New York Times may have found bitcoin founder Satoshi Nakamoto. Here's what you need to know.  Yahoo Finance,The New York Times may have found bitcoin founder Satoshi Nakamoto. Here's what you need to know. - Yahoo Finance. The New York Times may have found bitcoin founder Satoshi Nakamoto. Here's what you need to know.  Yahoo Finance
2026-04-08,prescraped,"NYT Names Adam Back as Bitcoin’s Creator, but Back Says No - Bitcoin Magazine","NYT Names Adam Back as Bitcoin’s Creator, but Back Says No  Bitcoin Magazine","NYT Names Adam Back as Bitcoin’s Creator, but Back Says No - Bitcoin Magazine. NYT Names Adam Back as Bitcoin’s Creator, but Back Says No  Bitcoin Magazine"
2026-04-08,prescraped,Product Due Diligence Session: Beyond the headlines: how bitcoin actually fits in client portfolios - ETF Trends,Product Due Diligence Session: Beyond the headlines: how bitcoin actually fits in client portfolios  ETF Trends,Product Due Diligence Session: Beyond the headlines: how bitcoin actually fits in client portfolios - ETF Trends. Product Due Diligence Session: Beyond the headlines: how bitcoin actually fits in client portfolios  ETF Trends
2026-04-09,prescraped,Morgan Stanley's MSBT bitcoin ETF logs $34 million in first-day volume - The Block,Morgan Stanley's MSBT bitcoin ETF logs $34 million in first-day volume  The Block,Morgan Stanley's MSBT bitcoin ETF logs $34 million in first-day volume - The Block. Morgan Stanley's MSBT bitcoin ETF logs $34 million in first-day volume  The Block
